,ID1,ID2,Relation
658,capec663,capec696,ParentOf
659,capec194,capec697,ParentOf
660,capec697,capec158,CanPrecede
661,capec697,capec94,CanPrecede
662,capec542,capec698,ParentOf
663,capec651,capec699,ParentOf
664,capec66,capec7,ParentOf
665,capec49,capec70,ParentOf
666,capec70,capec600,CanPrecede
667,capec70,capec151,CanPrecede
668,capec70,capec560,CanPrecede
669,capec70,capec561,CanPrecede
670,capec70,capec653,CanPrecede
671,capec161,capec700,ParentOf
672,capec70,capec700,CanPrecede
673,capec560,capec700,CanPrecede
674,capec94,capec701,ParentOf
675,capec701,capec151,CanPrecede
676,capec701,capec148,CanPrecede
677,capec98,capec701,CanPrecede
678,capec180,capec702,ParentOf
679,capec267,capec71,ParentOf
680,capec267,capec72,ParentOf
681,capec165,capec73,ParentOf
682,capec73,capec592,CanPrecede
683,capec176,capec75,ParentOf
684,capec126,capec76,ParentOf
685,capec22,capec77,ParentOf
686,capec267,capec78,ParentOf
687,capec267,capec79,ParentOf
688,capec100,capec8,ParentOf
689,capec80,capec64,PeerOf
690,capec80,capec71,PeerOf
691,capec267,capec80,ParentOf
692,capec268,capec81,ParentOf
693,capec250,capec83,ParentOf
694,capec250,capec84,ParentOf
695,capec580,capec85,ParentOf
696,capec85,capec63,CanPrecede
697,capec591,capec86,ParentOf
698,capec588,capec86,ParentOf
699,capec592,capec86,ParentOf
700,capec115,capec87,ParentOf
701,capec248,capec88,ParentOf
702,capec151,capec89,ParentOf
703,capec100,capec9,ParentOf
704,capec272,capec90,ParentOf
705,capec114,capec90,ParentOf
706,capec128,capec92,ParentOf
707,capec268,capec93,ParentOf
708,capec93,capec592,CanPrecede
709,capec94,capec151,CanPrecede
710,capec94,capec668,CanPrecede
711,capec54,capec95,ParentOf
712,capec603,capec96,ParentOf
713,capec192,capec97,ParentOf
714,capec97,capec20,CanPrecede
715,capec151,capec98,ParentOf
716,capec98,capec89,CanPrecede
717,capec98,capec543,CanPrecede
718,capec98,capec611,CanPrecede
719,capec98,capec630,CanPrecede
720,capec98,capec631,CanPrecede
721,capec98,capec632,CanPrecede
722,cwe319,cwe5,ParentOf
723,cwe334,cwe6,ParentOf
724,cwe756,cwe7,ParentOf
725,cwe668,cwe8,ParentOf
726,cwe266,cwe9,ParentOf
727,cwe489,cwe11,ParentOf
728,cwe756,cwe12,ParentOf
729,cwe260,cwe13,ParentOf
730,cwe733,cwe14,ParentOf
731,cwe642,cwe15,ParentOf
732,cwe610,cwe15,ParentOf
733,cwe20,cwe15,ParentOf
734,cwe707,cwe20,ParentOf
735,cwe20,cwe345,PeerOf
736,cwe20,cwe22,CanPrecede
737,cwe20,cwe41,CanPrecede
738,cwe20,cwe74,CanPrecede
739,cwe20,cwe119,CanPrecede
740,cwe20,cwe770,CanPrecede
741,cwe706,cwe22,ParentOf
742,cwe668,cwe22,ParentOf
743,cwe22,cwe23,ParentOf
744,cwe23,cwe24,ParentOf
745,cwe23,cwe25,ParentOf
746,cwe23,cwe26,ParentOf
747,cwe23,cwe27,ParentOf
748,cwe23,cwe28,ParentOf
749,cwe23,cwe29,ParentOf
750,cwe23,cwe30,ParentOf
751,cwe23,cwe31,ParentOf
752,cwe23,cwe32,ParentOf
753,cwe23,cwe33,ParentOf
754,cwe23,cwe34,ParentOf
755,cwe23,cwe35,ParentOf
756,cwe22,cwe36,ParentOf
757,cwe36,cwe37,ParentOf
758,cwe160,cwe37,ParentOf
759,cwe36,cwe38,ParentOf
760,cwe36,cwe39,ParentOf
761,cwe36,cwe40,ParentOf
762,cwe706,cwe41,ParentOf
763,cwe41,cwe42,ParentOf
764,cwe162,cwe42,ParentOf
765,cwe42,cwe43,ParentOf
